Time (s),ECG
0.0,-0.7643638383771275
0.01,-0.7903775840464755
0.02,-0.7101015379836406
0.03,-0.5959966369161266
0.04,-0.5258658037940587
0.05,-0.43862195892447475
0.06,-0.36223960708635183
0.07,-0.37327945447743205
0.08,-0.37857168547698783
0.09,-0.37680854085803184
0.1,-0.32762867297005244
0.11,-0.34224057536804664
0.12,-0.3240727182282771
0.13,-0.3598406397373965
0.14,-0.35415019554742344
0.15,-0.38863875680044135
0.16,-0.4073058739507867
0.17,-0.42296661296063676
0.18,-0.41256012209161663
0.19,-0.42376672821306083
0.2,-0.4048810365047639
0.21,-0.3617488419904961
0.22,-0.33525271402332124
0.23,-0.3234551004716726
0.24,-0.26535386346266154
0.25,-0.2315667295206445
0.26,-0.22116684163404227
0.27,-0.16791040370082466
0.28,-0.09691896181766133
0.29,-0.15238482901954875
0.3,-0.21670877408822398
0.31,-0.25426558332420557
0.32,-0.2964048083075965
0.33,-0.36280481345509386
0.34,-0.3911161580974339
0.35,-0.45620630187674394
0.36,-0.4842402746000856
0.37,-0.5193143769880503
0.38,-0.5303833354342193
0.39,-0.5257258540030567
0.4,-0.49650589828745567
0.41,-0.43993668372387085
0.42,-0.3798046747717069
0.43,-0.35318799739844997
0.44,-0.31882929107552943
0.45,-0.3010011540006733
0.46,-0.304811839554552
0.47,-0.3184962792554715
0.48,-0.31581908182657137
0.49,-0.34103068063285946
0.5,-0.3555205914568753
0.51,-0.3793015589359385
0.52,-0.3519080555525776
0.53,-0.34177912603005256
0.54,-0.3121722010056526
0.55,-0.32327945107562356
0.56,-0.34443962323306176
0.57,-0.35192432948284813
0.58,-0.3459553810258823
0.59,-0.35391363734622483
0.6,-0.34367352943105123
0.61,-0.3323369205559392
0.62,-0.31714760333915
0.63,-0.3126103841439387
0.64,-0.3091131414914347
0.65,-0.3215046648412343
0.66,-0.31136562055562517
0.67,-0.3400479037512042
0.68,-0.3411684179343658
0.69,-0.3454227517764009
0.7,-0.3411788182463273
0.71,-0.34874482778695015
0.72,-0.33491254555072114
0.73,-0.33640511187249833
0.74,-0.3390030727682152
0.75,-0.3319689070240589
0.76,-0.3201570130560908
0.77,-0.33456702506817165
0.78,-0.32873978846189544
0.79,-0.32658966386574
0.8,-0.31824090964308915
0.81,-0.33150202349611835
0.82,-0.32896883960523526
0.83,-0.340182650262481
0.84,-0.32959504805504336
0.85,-0.33100302235480944
0.86,-0.31515330249433526
0.87,-0.3180998284498185
0.88,-0.32427120670981074
0.89,-0.32594345176433687
0.9,-0.3116735006989118
0.91,-0.32230100892705155
0.92,-0.32527067782851954
0.93,-0.33529935953786744
0.94,-0.3342592727206846
0.95,-0.3407095174514722
0.96,-0.3190405378176262
0.97,-0.32266554321183405
0.98,-0.32015098353240623
0.99,-0.3385109117888487
1.0,-0.3272192097486286
1.01,-0.32805006939356396
1.02,-0.329703871447804
1.03,-0.33558464762632206
1.04,-0.31932458513434064
1.05,-0.32684027323222353
1.06,-0.3272311280509536
1.07,-0.32751461574778146
1.08,-0.3134822186883734
1.09,-0.31959840850208576
1.1,-0.3241153666897998
1.11,-0.3329038671388023
1.12,-0.325708077228705
1.13,-0.33655699733833827
1.14,-0.3295136287856507
1.15,-0.3328505385013503
1.16,-0.316665269621653
1.17,-0.3232665423516498
1.18,-0.3049976210253484
1.19,-0.31372680220018057
1.2,-0.3242343590884773
1.21,-0.32363413355102333
1.22,-0.3054558647337455
1.23,-0.3195772669266712
1.24,-0.33004360073678884
1.25,-0.3341545322892787
1.26,-0.3153241779355152
1.27,-0.31494450728710943
1.28,-0.30971166191124544
1.29,-0.3224327642986673
1.3,-0.31785073654178364
1.31,-0.3299408552004078
1.32,-0.32166798240097116
1.33,-0.3253559924331557
1.34,-0.3268397362885066
1.35,-0.34001926230112195
1.36,-0.32531232376450087
1.37,-0.32177683501906423
1.38,-0.3158503507483203
1.39,-0.3244761361812567
1.4,-0.32361842784889033
1.41,-0.3167660704198412
1.42,-0.3177494650439048
1.43,-0.33699495108298
1.44,-0.3311481650406324
1.45,-0.33874402560082756
1.46,-0.32701853014144255
1.47,-0.33158725274738754
1.48,-0.31148034091077453
1.49,-0.31672144599133867
1.5,-0.30551575076344595
1.51,-0.3228868382509446
1.52,-0.32680666013093546
1.53,-0.3206193823259643
1.54,-0.31540306027272746
1.55,-0.327571682345189
1.56,-0.3268938893684435
1.57,-0.33559182374516994
1.58,-0.32904189267286815
1.59,-0.3299045271271519
1.6,-0.3183200039086089
1.61,-0.32881156660701055
1.62,-0.3218784851429044
1.63,-0.3278552050637255
1.64,-0.3159618708915226
1.65,-0.32416714892530213
1.66,-0.3320707564246696
1.67,-0.3486454583729105
1.68,-0.3299197219091866
1.69,-0.33704931260847115
1.7,-0.32589026697577117
1.71,-0.32944838540820176
1.72,-0.332932149709222
1.73,-0.3367917212937306
1.74,-0.33069915041021375
1.75,-0.34231598529474944
1.76,-0.3380504868311231
1.77,-0.34500407675505795
1.78,-0.3332999616400127
1.79,-0.33701959701421436
1.8,-0.3221990496795609
1.81,-0.32140426895031615
1.82,-0.31204866986901164
1.83,-0.3260349009685452
1.84,-0.3298102218725543
1.85,-0.3414349717085552
1.86,-0.3347224018524752
1.87,-0.3334069033257664
1.88,-0.3274610572093098
1.89,-0.3344053430923193
1.9,-0.3374861297965336
1.91,-0.3452540262668098
1.92,-0.3379802302266542
1.93,-0.35163059525463025
1.94,-0.34622150009621533
1.95,-0.34293416341497157
1.96,-0.3233449497946474
1.97,-0.3337812618333564
1.98,-0.3242905312332881
1.99,-0.33701485729667885
2.0,-0.3457751384286407
2.01,-0.35455752137332586
2.02,-0.34543942065619604
2.03,-0.34779465132896736
2.04,-0.3474030916438905
2.05,-0.3516752286026965
2.06,-0.34308318208218036
2.07,-0.35235658712642837
2.08,-0.3409034393787488
2.09,-0.34561794674905205
2.1,-0.3504619771203556
2.11,-0.3561178612181547
2.12,-0.34019203398395415
2.13,-0.3495760201140527
2.14,-0.34881417832454603
2.15,-0.36076012123758333
2.16,-0.3429242893568771
2.17,-0.3428413945297325
2.18,-0.3484177127530412
2.19,-0.3550402525711486
2.2,-0.34604055626629243
2.21,-0.3424826354115723
2.22,-0.3394229248344839
2.23,-0.3445748647478493
2.24,-0.3210975519256518
2.25,-0.3353439120243861
2.26,-0.3554194892641273
2.27,-0.3731833523572283
2.28,-0.36953926282341437
2.29,-0.364114965718832
2.3,-0.36357694248070965
2.31,-0.3736017793431512
2.32,-0.36883630830174935
2.33,-0.3372004822787735
2.34,-0.3130036564776901
2.35,-0.33220603026080575
2.36,-0.3200621925974428
2.37,-0.31985131274315853
2.38,-0.2807850435143203
2.39,-0.2691445635148383
2.4,-0.28790286261686787
2.41,-0.3073975044904277
2.42,-0.3039332707161729
2.43,-0.36144868759253557
2.44,-0.3916050635774673
2.45,-0.43296363569054386
2.46,-0.4188330780548801
2.47,-0.44047596219342544
2.48,-0.49522286139567095
2.49,-0.4470742543909152
2.5,-0.452084329427216
2.51,-0.49572845842901714
2.52,-0.6468677767558954
2.53,-0.6333555119954479
2.54,-0.3596808546800441
2.55,0.20430631339026548
2.56,0.8781974525560358
2.57,0.7220784064919883
2.58,-0.2071378818344891
2.59,-0.868858248323642
2.6,-0.8641288849702052
2.61,-0.7215254069838521
2.62,-0.6975412758571348
2.63,-0.6035025775551883
2.64,-0.5196455420439916
2.65,-0.49464049626199225
2.66,-0.39002373005332724
2.67,-0.3816139706894676
2.68,-0.41705747270683946
2.69,-0.35593492593477694
2.7,-0.3211848717570446
2.71,-0.3653705998567145
2.72,-0.3357957962216123
2.73,-0.25653700721386985
2.74,-0.21375231923818544
2.75,-0.19034643104902768
2.76,-0.1269465149465341
2.77,-0.14457367958498998
2.78,-0.12408802074738934
2.79,-0.10538771964164394
2.8,-0.1172249795542292
2.81,-0.19633060621416734
2.82,-0.2784675332879983
2.83,-0.3719730455366493
2.84,-0.5024999702318423
2.85,-0.5878444291974132
2.86,-0.6144913162057604
2.87,-0.6753657095252058
2.88,-0.7111203421845762
2.89,-0.6661187509229152
2.9,-0.5620445541994634
2.91,-0.5260246373005258
2.92,-0.464658966420215
2.93,-0.37780406555925167
2.94,-0.2834699761427931
2.95,-0.26734202396000495
2.96,-0.24531311879948853
2.97,-0.20585360981267448
2.98,-0.22160500313461975
2.99,-0.2695779440598658
3.0,-0.29494069782173077
3.01,-0.3050774093138054
3.02,-0.3166898016674584
3.03,-0.3838906644200831
3.04,-0.40965593947984025
3.05,-0.40688801310759737
3.06,-0.38678720408518813
3.07,-0.42834959438838444
3.08,-0.410771184999775
3.09,-0.3582533377720537
3.1,-0.38147227694894714
3.11,-0.3942586407088072
3.12,-0.34799221218369053
3.13,-0.32135534303635915
3.14,-0.32529201301019417
3.15,-0.3517867235644511
3.16,-0.33775808747779973
3.17,-0.3206663720758943
3.18,-0.2736245683442285
3.19,-0.31876323761548203
3.2,-0.37957117007089897
3.21,-0.4240343965363731
3.22,-0.4384066826507369
3.23,-0.4884070119013075
3.24,-0.5043243297689292
3.25,-0.4682003500828184
3.26,-0.4525912266798619
3.27,-0.4348094104836047
3.28,-0.44867301666134307
3.29,-0.5282808144591553
3.3,-0.5704201495709245
3.31,-0.6248112713412441
3.32,-0.8139454718468679
3.33,-0.6776470531545531
3.34,0.027625659452012712
3.35,0.6805505480460268
3.36,0.927228120699382
3.37,0.5346975312812525
3.38,-0.25719896065648307
3.39,-0.831786074470229
3.4,-0.7770594369674739
3.41,-0.6373763865808555
3.42,-0.6642122945706443
3.43,-0.6396009321516879
3.44,-0.5864961643876482
3.45,-0.5081909431612497
3.46,-0.4434087627049028
3.47,-0.4428779390451899
3.48,-0.4028867266661251
3.49,-0.3763641184027161
3.5,-0.3824522103982122
3.51,-0.39317246100785375
3.52,-0.3483590466261904
3.53,-0.35083494387335573
3.54,-0.3694284554576574
3.55,-0.3740391919211036
3.56,-0.37210301101251964
3.57,-0.4204564255118229
3.58,-0.41943657682328056
3.59,-0.4119361459251351
3.6,-0.3919146750954894
3.61,-0.3977517470211558
3.62,-0.376216755497833
3.63,-0.35275170910756004
3.64,-0.3279952662699532
3.65,-0.32226595308480366
3.66,-0.33847269811190334
3.67,-0.3730860086806198
3.68,-0.3797609551686578
3.69,-0.3717453567326041
3.7,-0.3301813077619176
3.71,-0.30851199549403885
3.72,-0.28023981231573614
3.73,-0.2820002665787971
3.74,-0.2858101415941065
3.75,-0.32257708785711564
3.76,-0.3384210623676399
3.77,-0.3571468608056076
3.78,-0.3829897791014172
3.79,-0.4168411699563033
3.8,-0.4221606010303105
3.81,-0.41977851698735225
3.82,-0.4135508116671029
3.83,-0.4315755411180993
3.84,-0.4155803702232461
3.85,-0.40121351416852274
3.86,-0.389318714685277
3.87,-0.4138855954720058
3.88,-0.3974107011901974
3.89,-0.37029467959666346
3.9,-0.354014853877501
3.91,-0.36459194468699907
3.92,-0.36338602944838816
3.93,-0.36005710154141995
3.94,-0.35513664651325644
3.95,-0.36207219903288074
3.96,-0.3617648662993419
3.97,-0.3555302070455158
3.98,-0.3415378885383926
3.99,-0.3605540442969859
4.0,-0.35842727935644586
4.01,-0.36986857907305315
4.02,-0.35828039133166556
4.03,-0.3639549264566087
4.04,-0.35501815141547427
4.05,-0.3493932041273026
4.06,-0.34419660246105266
4.07,-0.35691243766145886
4.08,-0.35695102424019176
4.09,-0.36448285251731877
4.1,-0.3644773576708058
4.11,-0.3575077778263232
4.12,-0.344369599505162
4.13,-0.3502230603189833
4.14,-0.34730723919290407
4.15,-0.3569000912069377
4.16,-0.3552272101301756
4.17,-0.35821022886577536
4.18,-0.3460100706617943
4.19,-0.35024808064257573
4.2,-0.3395576933978215
4.21,-0.3421735613737477
4.22,-0.33210322440664797
4.23,-0.34426860720276325
4.24,-0.34778074039735607
4.25,-0.34872619774424124
4.26,-0.336349940061935
4.27,-0.3372016768302234
4.28,-0.33251481934017
4.29,-0.3399082076904071
4.3,-0.34377323498880585
4.31,-0.34417325892700257
4.32,-0.3260020098699842
4.33,-0.3288013401247097
4.34,-0.33243242391991634
4.35,-0.3429352139505453
4.36,-0.33363946546640444
4.37,-0.33824154696929326
4.38,-0.3391738115894022
4.39,-0.35214839949459803
4.4,-0.33776833564331826
4.41,-0.3376194211369281
4.42,-0.3386536763538309
4.43,-0.35224428902621513
4.44,-0.3511918742881258
4.45,-0.3369712819216313
4.46,-0.3126454315333214
4.47,-0.33052570846070956
4.48,-0.34035684784047426
4.49,-0.34208333296162324
4.5,-0.3556557266131815
4.51,-0.3743965468318671
4.52,-0.3370006552069278
4.53,-0.2895132946588159
4.54,-0.28001183171193195
4.55,-0.2735803825264025
4.56,-0.27519971878041344
4.57,-0.3350045175330972
4.58,-0.3474797704656431
4.59,-0.3633370609812187
4.6,-0.3725949289216522
4.61,-0.4247020454106801
4.62,-0.4124443947869698
4.63,-0.3789133399493845
4.64,-0.4677156096894647
4.65,-0.4842958477239248
4.66,-0.41054374224488327
4.67,-0.42997089270254496
4.68,-0.5438000602869422
4.69,-0.34145198053102355
4.7,0.10857957014044357
4.71,0.5002568909631533
4.72,0.8610905458612538
4.73,0.69705557859831
4.74,-0.17346167687549097
4.75,-0.8785513742117599
4.76,-0.9326677587318759
4.77,-0.8400989571356744
4.78,-0.7579352203575871
4.79,-0.600637288446572
4.8,-0.42101345996571277
4.81,-0.3657181157727873
4.82,-0.2808967126937267
4.83,-0.3326411832047679
4.84,-0.35925660024960404
4.85,-0.2917372852243705
4.86,-0.26246407591639365
4.87,-0.2984761837498632
4.88,-0.2577554329286431
4.89,-0.22775004411266347
4.9,-0.24546913399690623
4.91,-0.30327961449192015
4.92,-0.3251017454789865
